Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
14,14.8 26.6 19.3,82.3,8.7 3.0 11.7,5.0
15,17.4 24.6 19.0,89.3,7.6 0.0 7.6,1.7
16,16.6 25.2 20.5,81.0,0.0 0.0 0.0,3.6
17,15.0 27.6 20.4,77.3,0.3 0.6 0.9,6.6
18,17.0 25.6 20.4,82.7,0.4 0.2 0.6,3.4
19,15.6 26.0 19.6,77.7,0.0 0.0 0.0,4.7
20,15.4 26.3 20.1,77.7,0.0 0.0 0.0,2.0
21,16.0 25.8 20.4,79.7,0.0 0.0 0.0,6.2
22,15.5 27.0 20.5,71.3,0.0 0.0 0.0,6.5
23,15.4 26.3 19.5,81.3,0.0 0.0 0.0,3.4
24,16.6 26.8 20.8,74.7,0.0 0.0 0.0,7.6
25,15.6 27.6 21.4,76.3,0.0 0.0 0.0,6.9
26,17.8 27.5 21.2,81.3,0.0 0.0 0.0,2.3
27,17.6 24.6 20.0,85.0,0.7 0.0 0.7,0.1
28,16.0 27.0 21.2,74.3,0.0 0.9 0.9,4.6
29,17.6 27.0 21.0,79.3,0.2 0.0 0.2,2.3
30,15.4 26.8 19.3,80.7,3.6 0.0 3.6,5.3
31,15.6 25.0 20.4,82.7,0.0 61.6 61.6,1.1
Total:,,,89.0 143.0 232.0,117.2
Promedio:,16.1 25.7 19.8,81.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.2 22.2 19.3,91.0,0.1 0.0 0.1,0.1
2,15.8 25.0 20.3,84.0,0.0 3.9 3.9,2.1
3,15.2 26.4 20.3,85.0,1.0 0.8 1.8,4.3
4,17.0 26.2 19.6,84.0,6.5 0.0 6.5,2.8
5,16.0 24.0 19.0,92.0,9.5 0.0 9.5,0.9
6,15.8 23.8 19.5,82.3,0.0 3.5 3.5,2.1
7,17.4 27.8 20.4,81.0,0.2 0.0 0.2,7.8
8,17.0 25.0 20.7,78.7,0.0 0.0 0.0,3.5
9,16.4 26.2 20.8,79.0,0.0 59.4 59.4,5.0
10,16.0 23.8 20.6,83.0,0.0 0.0 0.0,3.0
11,15.2 27.5 21.9,66.0,0.0 0.0 0.0,6.5
12,16.4 26.8 20.6,81.3,0.0 5.7 5.7,4.5
13,17.8 25.6 20.2,82.7,5.5 1.5 7.0,3.8
14,14.6 26.7 19.5,82.0,0.0 0.0 0.0,5.9
15,15.0 24.2 19.8,83.3,0.6 0.0 0.6,2.5
16,17.0 26.4 21.0,79.7,0.3 21.0 21.3,4.9
17,16.4 24.4 20.0,86.3,0.0 0.0 0.0,1.8
18,17.6 26.0 20.2,83.7,0.0 0.0 0.0,4.0
19,17.8 26.5 19.9,89.0,2.2 0.0 2.2,2.7
20,17.4 27.6 21.4,74.7,0.0 0.0 0.0,4.8
21,16.5 26.7 20.0,81.3,23.0 25.8 48.8,3.9
22,15.6 26.4 20.3,74.7,0.0 0.0 0.0,7.4
23,15.0 27.6 21.5,70.0,0.0 0.0 0.0,8.7
24,16.0 28.0 21.8,67.3,0.0 12.6 12.6,8.2
25,17.4 26.0 20.8,81.7,0.0 0.0 0.0,3.4
26,17.2 25.0 20.5,84.7,10.4 6.2 16.6,1.2
27,15.8 23.4 18.8,85.3,3.5 0.7 4.2,1.8
28,15.6 25.2 20.2,79.7,0.0 0.0 0.0,3.4
29,,,,
30,,,,
31,,,,
Total:,,,62.8 141.1 203.9,111.0
Promedio:,16.4 25.7 20.3,81.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 27.8 21.2,70.7,0.0 0.0 0.0,9.7
2,16.0 28.2 21.4,74.7,0.0 0.0 0.0,8.8
3,16.4 25.5 19.8,89.7,4.5 11.2 15.7,5.0
4,17.0 25.0 20.2,85.0,0.6 0.0 0.6,1.7
5,17.8 25.4 21.0,80.3,0.0 0.0 0.0,2.8
6,16.8 23.8 19.2,89.0,22.8 19.3 42.1,1.4
7,15.6 22.2 18.7,86.0,2.5 0.0 2.5,0.0
8,16.8 22.0 18.6,89.3,1.0 25.7 26.7,0.0
9,15.8 24.4 19.0,82.7,4.9 1.5 6.4,0.2
10,16.0 24.0 18.8,83.0,22.6 5.4 28.0,0.9
11,14.5 27.0 18.8,80.0,26.8 3.4 30.2,5.7
12,14.6 26.4 20.2,80.0,21.4 0.8 22.2,5.3
13,16.0 27.0 20.0,81.3,0.0 6.8 6.8,3.4
14,15.9 26.0 20.8,77.3,0.0 11.6 11.6,2.9
15,16.5 23.2 19.0,84.7,2.9 18.3 21.2,0.1
16,16.0 23.4 18.9,83.3,0.0 0.0 0.0,1.4
17,16.6 24.4 19.4,85.3,16.6 26.6 43.2,0.8
18,15.0 26.6 19.6,81.0,0.0 1.0 1.0,2.1
19,16.0 24.2 20.0,83.7,11.0 1.3 12.3,3.1
20,15.8 24.0 20.0,84.3,0.0 9.1 9.1,0.9
21,16.2 24.2 19.8,82.7,3.6 0.0 3.6,2.7
22,15.6 25.0 19.4,86.0,0.0 0.6 0.6,2.3
23,16.8 25.8 19.7,86.0,13.5 32.9 46.4,1.6
24,16.6 23.0 19.2,88.3,0.8 62.1 62.9,0.1
25,16.3 23.3 19.4,85.7,2.6 0.0 2.6,0.6
26,15.6 21.0 18.4,91.7,1.1 0.0 1.1,0.0
27,16.0 26.0 20.5,78.3,0.0 0.0 0.0,3.0
28,16.6 27.0 20.4,76.0,0.0 0.0 0.0,4.7
29,17.2 27.8 21.0,63.0,0.0 0.0 0.0,5.3
30,15.5 27.2 18.8,83.3,63.0 1.0 64.0,4.8
31,16.0 25.4 20.6,84.7,0.1 26.6 26.7,3.5
Total:,,,222.3 265.2 487.5,84.8
Promedio:,16.1 25.0 19.7,82.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.2 25.8 20.5,85.0,22.8 13.1 35.9,3.2
2,16.2 22.4 19.1,90.3,0.0 0.3 0.3,0.2
3,16.0 23.5 19.4,88.3,3.0 4.6 7.6,0.4
4,15.1 22.4 18.6,95.0,15.3 33.3 48.6,1.7
5,16.2 25.0 19.2,82.0,26.9 2.2 29.1,3.2
6,16.4 24.8 18.4,93.0,14.2 0.1 14.3,2.2
7,16.2 23.2 18.6,90.0,0.7 0.0 0.7,2.2
8,16.6 24.8 20.4,81.3,0.2 8.8 9.0,4.4
9,16.0 27.0 18.6,78.7,7.5 0.0 7.5,4.0
10,14.0 26.8 20.0,79.3,5.8 18.0 23.8,6.2
11,15.8 26.0 20.6,80.0,0.0 7.5 7.5,5.1
12,16.6 23.2 18.1,94.3,22.2 5.9 28.1,0.6
13,16.2 25.2 18.8,85.7,3.6 23.1 26.7,0.9
14,16.0 23.6 18.6,85.7,4.2 0.0 4.2,0.8
15,16.2 26.6 20.6,77.0,0.0 2.5 2.5,4.0
16,17.0 23.5 19.4,87.7,2.0 0.0 2.0,2.0
17,16.0 23.4 19.0,90.0,0.5 0.0 0.5,2.4
18,17.0 26.4 20.4,81.3,7.3 1.2 8.5,0.0
19,16.8 25.2 20.6,85.7,4.1 12.7 16.8,0.0
20,15.2 27.0 20.1,83.0,0.4 0.0 0.4,1.2
21,15.4 28.8 21.0,77.0,0.0 0.0 0.0,8.8
22,18.6 28.0 22.5,48.3,0.0 0.0 0.0,8.7
23,17.2 24.4 20.1,78.3,0.0 0.3 0.3,0.7
24,16.6 26.0 20.6,81.0,11.9 0.0 11.9,4.8
25,16.4 27.6 21.5,75.3,0.1 8.9 9.0,5.0
26,17.0 24.0 19.2,89.0,43.2 32.8 76.0,3.0
27,15.6 21.5 18.0,92.0,3.2 4.3 7.5,0.1
28,16.5 24.6 19.2,85.7,0.0 1.7 1.7,1.9
29,16.4 24.2 19.3,88.7,0.0 3.3 3.3,3.0
30,17.4 23.2 19.3,95.3,1.1 1.9 3.0,0.4
31,,,,
Total:,,,200.2 186.5 386.7,81.1
Promedio:,16.3 24.9 19.7,84.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.9 26.4 21.2,81.0,0.0 1.1 1.1,5.2
2,17.0 25.2 19.9,79.3,1.8 0.2 2.0,2.6
3,17.4 27.6 20.8,79.0,3.7 2.2 5.9,6.3
4,17.0 28.4 20.7,80.3,1.5 4.7 6.2,3.9
5,16.0 23.2 19.5,92.3,13.2 0.5 13.7,1.0
6,17.8 27.3 19.3,89.0,11.8 3.9 15.7,2.4
7,17.6 25.2 20.3,88.7,2.7 14.1 16.8,3.2
8,16.8 27.0 20.4,83.3,0.0 27.2 27.2,1.5
9,16.4 24.3 18.8,89.0,6.0 7.6 13.6,3.1
10,16.4 23.8 19.7,86.3,0.2 0.0 0.2,1.8
11,16.8 25.4 20.7,80.3,1.6 8.4 10.0,3.0
12,17.0 26.4 21.2,77.7,0.0 9.6 9.6,6.0
13,17.1 28.0 21.6,58.3,0.0 0.0 0.0,8.6
14,15.0 28.4 21.4,66.3,0.0 0.0 0.0,8.5
15,16.2 27.0 21.6,65.0,0.0 0.0 0.0,5.8
16,16.4 27.4 19.8,81.0,9.6 0.0 9.6,4.4
17,16.3 22.0 18.8,96.3,28.2 0.0 28.2,0.1
18,16.0 24.0 19.8,86.3,0.0 0.0 0.0,2.2
19,16.2 27.0 19.8,78.7,8.4 0.0 8.4,2.0
20,14.0 27.9 20.2,76.7,4.4 17.6 22.0,8.1
21,16.6 26.0 19.5,84.0,2.2 0.0 2.2,3.2
22,13.4 26.6 20.2,71.3,0.0 0.0 0.0,8.7
23,16.0 27.0 21.4,50.3,0.0 0.0 0.0,7.0
24,16.6 22.8 19.4,83.7,0.0 0.0 0.0,0.4
25,15.0 26.4 20.9,75.3,0.0 0.0 0.0,4.4
26,17.4 26.4 20.0,83.3,4.7 0.1 4.8,4.9
27,15.4 24.4 19.5,84.0,1.6 0.0 1.6,3.7
28,16.2 25.8 19.6,86.7,9.9 0.0 9.9,0.8
29,15.0 24.4 20.0,85.0,1.4 1.5 2.9,2.1
30,16.8 25.6 20.5,84.3,0.0 0.0 0.0,4.0
31,17.0 27.4 21.4,75.7,0.0 0.0 0.0,5.6
Total:,,,112.9 98.7 211.6,124.5
Promedio:,16.3 26.0 20.3,79.9,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.5 26.0 20.0,80.3,8.8 4.7 13.5,1.9
2,14.6 26.2 20.0,83.7,0.4 2.0 2.4,4.0
3,17.0 27.0 20.5,78.0,0.6 3.0 3.6,2.6
4,17.2 25.4 18.8,96.3,17.1 8.2 25.3,3.4
5,16.6 23.4 19.8,87.0,0.0 22.8 22.8,2.3
6,16.4 22.4 18.8,93.0,1.4 3.5 4.9,0.7
7,15.5 23.0 18.2,91.0,35.3 0.0 35.3,0.4
8,14.8 25.0 18.8,84.0,22.8 0.0 22.8,2.9
9,15.8 22.1 18.6,93.3,6.4 0.1 6.5,0.7
10,16.2 21.3 18.3,93.3,5.4 2.4 7.8,2.6
11,15.0 24.1 18.4,84.0,6.0 0.5 6.5,2.9
12,15.5 27.2 19.8,78.7,0.0 0.1 0.1,5.4
13,16.2 25.5 21.2,71.3,0.0 0.0 0.0,6.2
14,16.4 24.0 20.0,78.0,0.5 6.1 6.6,1.8
15,15.6 27.0 20.0,82.0,6.0 0.0 6.0,3.8
16,16.0 23.4 19.8,85.7,0.8 0.0 0.8,2.2
17,14.8 25.4 20.8,65.3,0.0 0.0 0.0,4.5
18,16.2 25.0 19.0,84.3,9.7 0.0 9.7,4.8
19,14.9 26.4 20.4,72.7,0.0 0.0 0.0,6.9
20,16.6 24.2 19.7,81.7,0.0 1.0 1.0,2.6
21,15.6 22.2 18.2,89.3,0.2 0.0 0.2,0.1
22,14.8 26.6 20.9,72.7,0.0 0.0 0.0,5.7
23,15.4 27.0 20.7,76.0,2.1 0.0 2.1,5.6
24,15.2 26.4 19.8,74.0,0.0 0.0 0.0,4.5
25,16.8 23.9 19.8,82.0,0.0 0.0 0.0,1.0
26,16.2 27.2 21.3,71.7,0.0 0.0 0.0,4.5
27,17.0 25.6 21.1,69.0,0.0 0.0 0.0,2.8
28,16.2 26.2 21.2,74.3,0.0 0.0 0.0,2.9
29,16.6 25.2 21.2,58.7,0.0 0.0 0.0,6.4
30,18.0 25.6 22.3,58.7,0.0 0.0 0.0,6.0
31,,,,
Total:,,,123.5 54.4 177.9,102.1
Promedio:,16.0 25.0 19.9,79.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.6 27.8 22.6,55.3,0.0 0.0 0.0,8.1
2,17.4 26.4 21.0,64.3,0.0 0.0 0.0,3.9
3,16.6 27.0 21.2,67.7,0.0 0.0 0.0,3.2
4,17.4 26.4 21.4,60.7,0.0 0.0 0.0,6.5
5,15.8 26.0 21.2,59.0,0.0 0.0 0.0,2.8
6,14.6 26.8 20.2,77.7,1.5 0.0 1.5,5.5
7,15.2 25.4 20.6,66.7,0.0 0.0 0.0,3.9
8,16.5 26.4 20.8,61.7,0.0 0.0 0.0,3.6
9,16.0 26.0 21.3,63.3,0.0 0.0 0.0,2.4
10,16.4 25.6 21.0,63.3,0.4 0.0 0.4,0.4
11,17.0 25.1 21.2,67.7,0.0 0.0 0.0,3.4
12,17.4 26.2 20.4,74.7,0.0 0.0 0.0,2.1
13,18.0 27.4 21.0,74.3,0.0 0.0 0.0,5.5
14,16.0 25.8 21.7,72.0,0.0 6.3 6.3,4.1
15,15.5 25.4 20.0,77.7,0.0 0.0 0.0,3.5
16,17.4 25.0 19.2,74.7,0.0 0.0 0.0,4.0
17,16.4 25.4 21.3,60.7,0.0 0.0 0.0,3.9
18,17.0 24.0 19.9,78.0,0.0 0.0 0.0,1.7
19,16.8 27.0 21.6,63.7,0.0 0.0 0.0,5.9
20,16.1 25.4 20.2,58.7,0.7 0.0 0.7,1.9
21,16.0 27.4 20.7,71.3,0.0 0.0 0.0,3.7
22,16.1 25.6 18.6,93.3,4.8 0.0 4.8,3.3
23,15.8 26.4 19.7,77.3,0.0 0.0 0.0,4.9
24,15.6 26.2 20.3,75.3,0.6 0.0 0.6,3.1
25,15.2 25.9 19.5,82.3,2.3 0.0 2.3,4.2
26,14.6 28.2 20.8,72.0,0.0 0.0 0.0,6.0
27,15.4 24.2 18.2,85.3,22.1 3.3 25.4,1.8
28,14.5 19.6 17.4,95.3,2.7 0.0 2.7,0.0
29,13.8 24.9 19.2,74.3,0.0 0.0 0.0,5.4
30,14.6 27.4 20.9,68.3,0.0 0.0 0.0,8.0
31,14.4 27.2 21.2,59.0,0.0 0.0 0.0,7.1
Total:,,,35.1 9.6 44.7,123.8
Promedio:,16.1 25.9 20.5,70.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.6 27.0 21.8,57.7,0.0 0.0 0.0,7.8
2,16.8 26.6 21.6,55.3,0.0 0.0 0.0,8.9
3,16.9 26.6 21.1,49.3,0.0 0.0 0.0,5.5
4,16.4 26.3 20.9,56.7,0.0 0.0 0.0,2.6
5,17.4 27.2 21.5,58.0,0.0 0.0 0.0,6.1
6,15.6 27.2 20.8,60.0,0.0 0.0 0.0,4.0
7,15.4 26.6 20.4,76.0,0.0 0.0 0.0,2.1
8,16.3 27.0 20.7,81.3,0.3 0.0 0.3,4.0
9,16.0 27.8 21.8,68.3,0.0 0.0 0.0,4.3
10,17.8 28.6 23.2,66.0,0.0 0.0 0.0,8.5
11,18.4 26.4 21.9,51.3,0.1 0.0 0.1,5.6
12,18.6 26.6 23.0,42.3,0.0 0.0 0.0,5.1
13,19.6 27.8 23.0,39.7,0.0 0.0 0.0,5.6
14,17.0 29.0 23.4,43.7,0.0 0.0 0.0,7.5
15,17.4 28.4 21.4,65.0,0.0 0.0 0.0,2.1
16,16.4 27.8 21.7,67.3,0.0 0.0 0.0,3.1
17,17.0 26.6 20.7,83.0,3.2 0.3 3.5,2.9
18,17.6 25.0 20.4,74.0,0.0 0.0 0.0,3.9
19,16.0 26.4 20.0,71.7,3.3 0.0 3.3,5.0
20,15.4 27.6 21.6,63.3,0.0 0.0 0.0,6.8
21,16.0 26.8 20.8,59.7,0.0 0.0 0.0,4.0
22,15.4 28.6 21.6,57.3,0.0 0.0 0.0,5.6
23,15.6 29.0 21.3,62.7,0.2 3.3 3.5,8.7
24,16.6 24.8 18.8,91.0,25.7 0.2 25.9,3.2
25,16.8 26.0 20.5,78.3,0.1 2.0 2.1,1.5
26,17.0 24.0 20.1,84.3,0.0 0.0 0.0,1.6
27,16.5 24.6 19.1,85.0,0.0 0.9 0.9,3.6
28,15.4 27.2 19.6,75.7,0.0 0.0 0.0,6.5
29,16.3 27.0 21.0,74.0,0.8 0.0 0.8,5.3
30,17.0 26.0 20.6,65.7,0.0 0.0 0.0,3.8
31,15.4 28.0 20.8,69.7,0.9 0.0 0.9,5.9
Total:,,,34.6 6.7 41.3,151.1
Promedio:,16.7 26.9 21.1,65.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.4 27.6 21.1,70.0,0.0 0.0 0.0,5.2
2,16.0 29.0 21.6,74.3,0.0 29.3 29.3,6.3
3,17.0 27.4 21.0,75.0,0.0 0.0 0.0,6.5
4,16.6 24.2 19.5,86.7,5.5 0.0 5.5,1.9
5,16.0 24.8 18.6,85.3,9.6 0.0 9.6,2.6
6,15.6 27.8 21.4,57.3,0.0 0.0 0.0,8.4
7,16.8 25.0 19.2,89.0,1.8 0.0 1.8,1.5
8,14.8 25.0 20.2,73.7,0.0 0.0 0.0,3.9
9,17.0 25.8 20.3,76.7,0.0 0.0 0.0,4.1
10,15.0 27.6 20.4,71.7,0.0 0.0 0.0,6.8
11,16.0 26.4 20.6,70.0,0.0 0.0 0.0,4.2
12,16.4 24.2 20.0,81.3,1.0 3.8 4.8,1.9
13,17.2 24.8 20.0,81.0,1.8 0.0 1.8,2.5
14,15.2 26.6 21.0,72.3,2.6 0.2 2.8,5.6
15,16.4 25.4 20.0,79.7,0.0 0.0 0.0,2.0
16,14.6 26.0 19.8,76.3,0.0 0.0 0.0,4.1
17,15.4 25.0 19.3,80.3,0.0 0.0 0.0,1.4
18,15.6 23.0 19.1,80.3,0.9 0.3 1.2,1.5
19,15.8 26.4 20.8,69.7,0.5 0.0 0.5,5.3
20,14.9 28.4 21.2,63.0,0.0 0.0 0.0,8.6
21,14.8 28.2 20.8,73.3,8.9 0.0 8.9,5.8
22,15.0 28.0 21.2,68.0,0.0 0.0 0.0,6.5
23,16.2 28.8 21.8,71.3,0.0 0.0 0.0,7.9
24,16.0 26.2 22.4,56.7,0.0 0.0 0.0,1.6
25,15.2 27.0 21.8,48.3,0.0 2.0 2.0,9.3
26,14.6 29.0 21.4,63.0,0.0 0.0 0.0,9.7
27,14.4 28.6 21.2,62.7,0.0 0.0 0.0,9.1
28,15.2 27.7 21.2,50.3,0.0 0.0 0.0,5.4
29,16.0 27.0 21.1,62.0,0.0 0.0 0.0,1.4
30,16.8 27.8 22.0,65.7,0.0 0.0 0.0,1.7
31,,,,
Total:,,,32.6 35.6 68.2,142.7
Promedio:,15.7 26.6 20.7,71.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.6 27.5 22.6,66.7,0.0 0.0 0.0,5.2
2,17.8 28.6 22.0,65.3,0.0 0.0 0.0,4.4
3,17.4 26.2 19.6,88.7,2.5 0.0 2.5,1.1
4,17.2 26.8 20.8,75.7,0.0 0.0 0.0,1.9
5,16.8 29.0 21.6,64.0,0.0 0.0 0.0,6.1
6,17.6 29.8 23.0,37.3,0.0 0.0 0.0,6.8
7,18.5 32.0 24.5,43.3,0.0 0.0 0.0,7.8
8,17.8 29.4 22.4,53.0,0.0 0.0 0.0,2.9
9,16.8 28.0 21.8,75.3,0.0 0.0 0.0,2.8
10,17.3 28.5 21.2,76.7,0.0 2.8 2.8,3.4
11,17.0 25.0 20.2,82.7,4.4 3.7 8.1,0.9
12,15.8 26.3 19.8,84.7,7.6 30.4 38.0,5.6
13,16.6 26.4 20.0,83.7,0.0 0.7 0.7,3.6
14,17.0 26.2 20.6,79.3,2.0 2.7 4.7,2.8
15,16.8 23.4 18.2,90.7,3.2 0.0 3.2,1.9
16,16.4 26.6 20.6,77.7,0.0 5.2 5.2,4.1
17,16.2 23.6 18.0,89.0,0.8 0.0 0.8,0.9
18,14.8 29.0 21.6,68.7,0.0 0.5 0.5,7.4
19,17.2 28.0 20.8,76.0,0.0 43.0 43.0,4.1
20,16.8 24.0 19.8,86.0,0.4 0.0 0.4,1.1
21,17.0 27.0 20.4,78.0,6.0 40.0 46.0,5.2
22,16.2 22.4 18.3,89.0,0.0 4.1 4.1,1.0
23,15.4 22.0 18.4,85.0,4.3 0.0 4.3,0.0
24,13.6 26.5 20.2,70.3,0.0 0.0 0.0,5.8
25,15.4 27.0 19.8,82.3,2.8 0.0 2.8,5.2
26,16.0 25.0 19.8,82.0,0.0 5.1 5.1,1.4
27,15.6 26.2 20.0,79.0,0.0 0.5 0.5,5.5
28,17.6 24.6 19.8,89.7,10.8 0.0 10.8,2.8
29,15.6 25.4 19.8,82.3,0.5 0.0 0.5,3.6
30,17.0 26.4 20.3,83.0,0.2 3.3 3.5,2.6
31,16.9 27.0 20.2,77.7,1.9 3.5 5.4,4.7
Total:,,,47.4 145.5 192.9,112.6
Promedio:,16.6 26.6 20.5,76.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.4 26.8 20.3,79.0,4.2 0.4 4.6,7.1
2,15.4 26.4 20.2,81.7,12.3 0.3 12.6,5.5
3,16.2 27.0 20.2,77.3,3.3 7.2 10.5,4.8
4,14.6 28.0 21.4,76.0,0.0 0.0 0.0,7.7
5,16.0 25.4 18.8,89.7,8.8 0.0 8.8,1.8
6,15.4 25.2 20.0,80.7,24.0 6.2 30.2,0.9
7,15.6 25.5 20.2,83.3,0.0 34.9 34.9,3.2
8,15.2 25.6 19.5,80.7,5.5 2.1 7.6,2.6
9,16.4 25.0 19.8,84.0,17.2 36.4 53.6,0.0
10,15.0 23.0 18.8,85.3,0.0 0.0 0.0,0.8
11,16.4 28.0 21.2,71.7,2.5 0.0 2.5,6.6
12,16.2 22.5 18.6,93.3,2.4 13.2 15.6,1.0
13,15.0 24.6 19.3,84.0,1.1 27.8 28.9,3.3
14,16.6 24.5 19.5,85.7,0.1 21.2 21.3,1.9
15,15.8 24.0 18.4,86.3,5.2 18.1 23.3,0.4
16,16.0 26.6 20.3,79.3,0.0 0.0 0.0,4.3
17,17.0 22.8 18.7,94.0,14.5 1.1 15.6,1.4
18,16.0 24.6 19.1,83.7,2.5 0.0 2.5,1.9
19,15.0 25.4 20.3,82.0,0.0 0.0 0.0,1.6
20,16.6 27.0 21.0,75.3,0.0 0.0 0.0,7.9
21,15.8 25.6 19.9,79.3,2.3 5.5 7.8,3.4
22,17.2 25.2 19.8,82.3,0.0 0.0 0.0,3.2
23,15.8 26.6 20.6,76.3,0.0 15.8 15.8,4.7
24,15.6 25.0 19.2,82.7,5.0 0.0 5.0,2.3
25,15.8 24.8 19.0,95.0,9.4 7.0 16.4,2.4
26,15.4 26.4 20.4,85.7,0.0 12.0 12.0,2.9
27,15.8 25.6 19.0,87.0,0.0 4.0 4.0,2.6
28,16.0 26.2 18.9,88.3,16.6 0.1 16.7,2.4
29,14.6 25.0 18.8,90.3,11.0 0.1 11.1,3.4
30,15.6 26.6 20.0,85.3,0.0 0.0 0.0,4.5
31,,,,
Total:,,,147.9 213.4 361.3,96.5
Promedio:,15.8 25.5 19.7,83.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.0 26.4 20.8,84.7,0.0 0.0 0.0,4.9
2,16.2 25.4 20.5,89.7,0.0 0.0 0.0,2.2
3,17.2 27.0 20.2,88.3,1.3 0.0 1.3,4.0
4,15.4 27.2 20.9,85.0,0.0 0.0 0.0,5.4
5,17.4 24.0 19.6,87.3,3.1 2.4 5.5,0.4
6,17.6 27.0 20.7,85.7,0.0 0.0 0.0,2.6
7,17.0 23.6 19.1,89.7,0.0 0.0 0.0,0.3
8,17.0 27.6 20.1,93.7,0.3 9.2 9.5,2.8
9,16.4 24.2 19.6,91.3,0.2 7.3 7.5,0.8
10,16.8 25.4 20.0,87.7,0.0 0.0 0.0,3.9
11,16.4 25.6 20.1,89.7,0.0 15.5 15.5,1.9
12,16.4 23.4 19.0,91.3,0.0 4.6 4.6,0.8
13,16.8 25.0 19.5,89.0,3.6 0.0 3.6,2.5
14,16.6 27.8 20.4,76.7,0.0 0.0 0.0,7.1
15,17.5 25.0 19.9,82.3,0.0 6.6 6.6,1.7
16,17.2 25.2 20.4,83.0,0.0 17.2 17.2,2.0
17,16.4 26.0 20.5,81.7,1.6 1.5 3.1,2.2
18,15.0 26.0 20.3,83.3,0.0 14.3 14.3,3.4
19,17.0 26.0 20.6,83.3,15.0 35.0 50.0,4.0
20,16.8 22.2 19.3,92.7,0.4 2.8 3.2,0.1
21,16.6 25.4 20.2,84.7,2.7 0.0 2.7,2.1
22,14.0 25.6 19.8,82.0,0.0 0.0 0.0,5.5
23,15.2 25.0 19.0,89.3,0.4 0.0 0.4,2.2
24,14.4 27.0 19.2,80.3,23.6 0.0 23.6,6.9
25,15.4 26.2 20.6,78.7,0.0 0.0 0.0,1.7
26,15.4 24.0 19.2,88.0,19.5 0.5 20.0,1.9
27,16.0 23.0 19.6,85.3,0.0 0.0 0.0,1.3
28,15.4 25.4 19.6,82.3,0.0 0.0 0.0,3.4
29,14.6 27.6 20.8,72.0,0.0 0.0 0.0,8.0
30,15.4 27.4 21.0,52.7,0.0 0.0 0.0,8.2
31,15.6 26.9 20.0,82.7,0.0 0.0 0.0,4.6
Total:,,,71.7 116.9 188.6,98.8
Promedio:,16.1 25.6 20.0,84.3,,
Estacion:, Granja Tibacuy,Dpto: Cundinamarca,Latitud  :,4°,22',N
Año:, 2006,Mpio: Tibacuy,Longitud:,74°,26',W
"",,Altitud:,1538,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.6 24.2 19.1,72.3,0.0 0.0 0.0,6.9
2,14.5 24.0 19.6,80.7,0.2 14.8 15.0,4.7
3,15.4 22.6 17.7,89.3,8.9 0.0 8.9,0.9
4,15.5 23.2 17.6,86.3,4.5 0.0 4.5,2.3
5,15.6 20.4 18.0,94.3,2.8 0.0 2.8,0.0
6,15.8 22.8 18.0,87.7,2.5 0.2 2.7,1.6
7,16.0 20.0 17.8,92.3,17.5 17.5 35.0,0.1
8,16.2 20.7 17.7,94.0,2.9 0.0 2.9,0.3
9,16.0 23.6 18.9,78.3,0.0 0.0 0.0,5.2
10,15.2 25.2 19.8,76.7,0.0 0.0 0.0,7.2
